"id","status","course_id","program_id"
"1","Mandatory","CS111","111"
"2","Mandatory","CS112","111"
"3","Mandatory","CS113","111"
"4","Mandatory","CS211","111"
"5","Mandatory","CS212","111"
"6","Mandatory","CS213","111"
"7","Elective","CS411","111"
"8","Elective","CS511","111"
"9","Elective","CS413","111"
"101","Mandatory","CS111","112"
"102","Mandatory","CS112","112"
"103","Mandatory","CS113","112"
"104","Mandatory","CS211","112"
"105","Mandatory","CS212","112"
"106","Mandatory","CS213","112"
"201","Mandatory","CS121","121"
"202","Mandatory","CS122","121"
"203","Mandatory","CS123","121"
"204","Mandatory","CS221","121"
"205","Mandatory","CS222","121"
"206","Mandatory","CS213","121"
"207","Elective","CS421","121"
"208","Elective","CS422","121"
"251","Mandatory","CS121","122"
"252","Mandatory","CS122","122"
"253","Mandatory","CS123","122"
"254","Mandatory","CS221","122"
"255","Mandatory","CS222","122"
"256","Mandatory","CS213","122"
"301","Mandatory","CS131","131"
"302","Mandatory","CS132","131"
"303","Mandatory","CS231","131"
"304","Mandatory","CS232","131"
"305","Mandatory","CS235","131"
"306","Elective","CS531","131"
"307","Elective","CS532","131"
"308","Elective","CS535","131"
"351","Mandatory","CS131","132"
"352","Mandatory","CS132","132"
"353","Mandatory","CS231","132"
"354","Mandatory","CS232","132"
"355","Mandatory","CS235","132"
"401","Mandatory","CS141","141"
"402","Mandatory","CS142","141"
"403","Mandatory","CS241","141"
"404","Mandatory","CS242","141"
"405","Elective","CS441","141"
"406","Elective","CS442","141"
"407","Elective","CS443","141"
"451","Mandatory","CS141","142"
"452","Mandatory","CS142","142"
"453","Mandatory","CS241","142"
"454","Mandatory","CS242","142"
"2001","Mandatory","EC111","211"
"2002","Mandatory","EC131","211"
"2004","Mandatory","EC151","211"
"2005","Mandatory","EC211","211"
"2006","Mandatory","EC221","211"
"2007","Elective","EC411","211"
"2101","Mandatory","EC111","212"
"2102","Mandatory","EC131","212"
"2104","Mandatory","EC151","212"
"2105","Mandatory","EC211","212"
"2106","Mandatory","EC221","212"
"2501","Mandatory","EC121","221"
"2502","Mandatory","EC221","221"
"2503","Elective","EC421","221"
"2504","Elective","EC431","221"
"2505","Mandatory","EC141","221"
"2506","Mandatory","EC222","221"
"2700","Mandatory","EC141","222"
"2701","Mandatory","EC121","222"
"2702","Mandatory","EC221","222"
"2703","Mandatory","EC222","222"
"3001","Mandatory","ME111","311"
"3002","Mandatory","ME131","311"
"3003","Mandatory","ME141","311"
"3004","Mandatory","ME211","311"
"3005","Elective","ME411","311"
"3101","Mandatory","ME111","312"
"3102","Mandatory","ME131","312"
"3103","Mandatory","ME141","312"
"3104","Mandatory","ME211","312"
"3501","Mandatory","ME121","321"
"3502","Mandatory","ME151","321"
"3503","Mandatory","ME161","321"
"3504","Mandatory","ME221","321"
"3505","Elective","ME421","321"
"3506","Elective","ME431","321"
"3701","Mandatory","ME121","322"
"3702","Mandatory","ME151","322"
"3703","Mandatory","ME161","322"
"3704","Mandatory","ME221","322"
"4001","Mandatory","CE111","411"
"4002","Mandatory","CE121","411"
"4003","Mandatory","CE161","411"
"4011","Mandatory","CE221","411"
"4012","Elective","CE511","411"
"4013","Elective","CE421","411"
"4101","Mandatory","CE111","412"
"4102","Mandatory","CE121","412"
"4103","Mandatory","CE161","412"
"4104","Mandatory","CE221","412"
"4501","Mandatory","CE131","421"
"4502","Mandatory","CE141","421"
"4503","Mandatory","CE151","421"
"4504","Mandatory","CE231","421"
"4505","Elective","CE431","421"
"4506","Elective","CE441","421"
"4701","Mandatory","CE131","422"
"4702","Mandatory","CE141","422"
"4703","Mandatory","CE151","422"
"4704","Mandatory","CE231","422"
"5001","Mandatory","MA111","511"
"5002","Mandatory","MA131","511"
"5003","Mandatory","MA142","511"
"5004","Mandatory","MA211","511"
"5005","Mandatory","MA231","511"
"5006","Elective","MA411","511"
"5007","Elective","MA431","511"
"5201","Mandatory","MA111","512"
"5202","Mandatory","MA131","512"
"5203","Mandatory","MA142","512"
"5204","Mandatory","MA211","512"
"5205","Mandatory","MA231","512"
"5501","Mandatory","MA121","521"
"5502","Mandatory","MA141","521"
"5503","Mandatory","MA122","521"
"5504","Mandatory","MA221","521"
"5505","Mandatory","MA241","521"
"5506","Elective","MA421","521"
"5507","Elective","MA441","521"
"5701","Mandatory","MA121","522"
"5702","Mandatory","MA141","522"
"5703","Mandatory","MA122","522"
"5704","Mandatory","MA221","522"
"5705","Mandatory","MA241","522"
